,[Key]resource-key:string,en-us:string,zh-cn:string,zh-tw:string,fr-fr:string,ja:string,ko-kr:string,es:string,Descriptions:string
 ,RUNNING,Running,运行中,執行中,Running,実行中,실행 중,En ejecución,status
 ,STOPPED,Stopped,已停止,已停止,Stopped,停止,중지됨,Detenido,status
 ,PAUSED,Paused,已暂停,已暫停,Paused,一時停止,일시중지됨,Pausado,status

# Account page strings,,,,,,,,,
 ,ACCESS_DENIED_TITLE,Access Denied,访问被拒绝,存取被拒絕,Access Denied,アクセス拒否,접근 거부,Acceso denegado,page title
 ,ACCESS_DENIED,Access denied,访问被拒绝,存取被拒絕,Access denied,アクセス拒否,접근 거부,Acceso denegado,short title
 ,ACCESS_DENIED_MESSAGE,You do not have permission to access this page. Please contact an administrator.,您没有权限访问此页面。请联系管理员获取访问权限。,您沒有權限存取此頁面。請聯絡管理員獲取存取權限。,You do not have permission to access this page.,このページにアクセスする権限がありません。管理者に連絡してください。,이 페이지에 액세스할 권한이 없습니다. 관리자에게 문의하세요.,No tiene permiso para acceder a esta página. Póngase en contacto con un administrador.,detailed message
 ,RETURN_TO_LOGIN,Return to login,返回登录,返回登入,Return to login,ログインに戻る,로그인으로 돌아가기,Volver a iniciar sesión,button text
 ,LOGIN_PAGE_TITLE,Login,登录,登入,Login,ログイン,로그인,Inicio de sesión,page title
 ,LOGIN,Login,登录,登入,Login,ログイン,로그인,Iniciar sesión,button/label
 ,USERNAME,Username,用户名,使用者名稱,Username,ユーザー名,사용자 이름,Nombre de usuario,label
 ,PASSWORD,Password,密码,密碼,Password,パスワード,비밀번호,Contraseña,label
 ,REMEMBER_ME,Remember me,记住我,記住我,Remember me,ログイン情報を保持する,로그인 정보 기억,Recordarme,checkbox label
 ,LOGIN_IN_PROGRESS,Logging in...,登录中...,登入中...,Logging in...,ログイン中...,로그인 중...,Iniciando sesión...,in-progress text
 ,LOGOUT,Logout,退出登录,登出登入,Logout,ログアウト,로그아웃,Cerrar sesión,logout menu item
 ,SWITCH_TO_LIGHT_MODE,Switch to light mode,切换到浅色模式,切換到淺色模式,Switch to light mode,ライトモードに切り替え,라이트 모드로 전환,Cambiar a modo claro,theme toggle tooltip
 ,SWITCH_TO_DARK_MODE,Switch to dark mode,切换到深色模式,切換到深色模式,Switch to dark mode,ダークモードに切り替え,다크 모드로 전환,Cambiar a modo oscuro,theme toggle tooltip
 ,INSTALL_PAGE_TITLE,Initial Setup,初始设置,初始設定,Initial Setup,初期設定,초기 설정,Configuración inicial,page title
 ,INSTALL_HEADER,Create Administrator Account,创建管理员账户,建立管理員帳戶,Create Administrator Account,管理者アカウントを作成,관리자 계정 생성,Crear cuenta de administrador,header text
 ,INSTALL_DESCRIPTION,Welcome! Please create an administrator account to get started.,欢迎！请创建管理员账户以开始使用。,歡迎！請建立管理員帳戶以開始使用。,Welcome! Please create an administrator account to get started.,ようこそ！開始するには管理者アカウントを作成してください。,환영합니다! 시작하려면 관리자 계정을 만드세요.,¡Bienvenido! Cree una cuenta de administrador para comenzar.,description text
 ,CREATE_ADMIN_ACCOUNT,Create Admin Account,创建管理员账户,建立管理員帳戶,Create Admin Account,管理者アカウントを作成,관리자 계정 생성,Crear cuenta de administrador,button text
 ,INSTALL_IN_PROGRESS,Creating account...,创建账户中...,建立帳戶中...,Creating account...,アカウントを作成中...,계정 생성 중...,Creando cuenta...,in-progress text
 ,INSTALL_SUCCESS,Account created successfully! Redirecting...,账户创建成功！正在跳转...,帳戶建立成功！正在跳轉...,Account created successfully! Redirecting...,アカウントが正常に作成されました！リダイレクト中...,계정이 성공적으로 생성되었습니다! 리디렉션 중...,¡Cuenta creada con éxito! Redirigiendo...,success message
 ,INSTALL_ERROR,Failed to create account. Please try again.,账户创建失败。请重试。,帳戶建立失敗。請重试。,Failed to create account. Please try again.,アカウントの作成に失敗しました。もう一度お試しください。,계정 생성에 실패했습니다. 다시 시도하세요.,Error al crear la cuenta. Inténtalo de nuevo.,error message
 ,USERNAME_REQUIRED,Username is required,用户名不能为空,使用者名稱不能為空,Username is required,ユーザー名は必須です,사용자 이름은 필수입니다,El nombre de usuario es obligatorio,validation error
 ,PASSWORD_REQUIRED,Password is required,密码不能为空,密碼不能為空,Password is required,パスワードは必須です,비밀번호는 필수입니다,La contraseña es obligatoria,validation error
 ,PASSWORD_REQUIREMENTS,Password must be at least 6 characters and contain uppercase letter and number,密码至少需要6个字符且包含大写字母和数字,密碼至少需要6個字元且包含大寫字母和數字,Password must be at least 6 characters and contain uppercase letter and number,パスワードは6文字以上で、大文字と数字を含む必要があります,비밀번호는 최소 6자 이상이어야 하며 대문자와 숫자를 포함해야 합니다,La contraseña debe tener al menos 6 caracteres y contener letra mayúscula y número,validation hint

# Language names for switcher,,,,,,,,,
 ,LANG_EN_US,English,English,English,English,English,English,English,language name
 ,LANG_ZH_CN,中文,中文,中文,中文,中文,中文,中文,language name
 ,LANG_ZH_TW,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,language name
 ,LANG_FR_FR,Français,Français,Français,Français,Français,Français,Français,language name
 ,LANG_JA,日本語,日本語,日本語,日本語,日本語,日本語,日本語,language name
 ,LANG_KO_KR,한국어,한국어,한국어,한국어,한국어,한국어,한국어,language name
 ,LANG_ES,Español,Español,Español,Español,Español,Español,Español,language name

# User profile page strings,,,,,,,,,
 ,USER_PROFILE,User Profile,用户配置,用户設定檔,User Profile,ユーザープロファイル,사용자 프로필,Perfil de usuario,page title
 ,PROFILE,Profile,配置,設定檔,Profile,プロファイル,프로필,Perfil,nav menu item
 ,CHANGE_PASSWORD,Change Password,修改密码,修改密碼,Change Password,パスワードを変更,비밀번호 변경,Cambiar contraseña,section title
 ,CURRENT_PASSWORD,Current Password,当前密码,目前密碼,Current Password,現在のパスワード,현재 비밀번호,Contraseña actual,label
 ,NEW_PASSWORD,New Password,新密码,新密碼,New Password,新しいパスワード,새 비밀번호,Nueva contraseña,label
 ,CONFIRM_PASSWORD,Confirm Password,确认密码,確認密碼,Confirm Password,パスワードを確認,비밀번호 확인,Confirmar contraseña,label
 ,UPDATE_PASSWORD,Update Password,更新密码,更新密碼,Update Password,パスワードを更新,비밀번호 업데이트,Actualizar contraseña,button text
 ,PASSWORD_UPDATED,Password updated successfully,密码更新成功,密碼更新成功,Password updated successfully,パスワードが正常に更新されました,비밀번호가 성공적으로 업데이트되었습니다,Contraseña actualizada correctamente,success message
 ,PASSWORD_UPDATE_FAILED,Failed to update password,密码更新失败,密碼更新失敗,Failed to update password,パスワードの更新に失敗しました,비밀번호 업데이트 실패,Error al actualizar la contraseña,error message
 ,CURRENT_PASSWORD_INCORRECT,Current password is incorrect,当前密码不正确,目前密碼不正確,Current password is incorrect,現在のパスワードが正しくありません,현재 비밀번호가 올바르지 않습니다,La contraseña actual es incorrecta,error message
 ,PASSWORDS_DO_NOT_MATCH,Passwords do not match,密码不匹配,密碼不相符,Passwords do not match,パスワードが一致しません,비밀번호가 일치하지 않습니다,Las contraseñas no coinciden,error message
 ,EMAIL,Email,邮箱,電子郵件,Email,メール,이메일,Correo electrónico,label
 ,ACCOUNT_INFORMATION,Account Information,账户信息,帳戶資訊,Account Information,アカウント情報,계정 정보,Información de la cuenta,section title

# User management page strings (admin only),,,,,,,,,
 ,USER_MANAGEMENT,User Management,用户管理,用户管理,User Management,ユーザー管理,사용자 관리,Gestión de usuarios,page title
 ,CREATE_USER,Create User,创建用户,建立用户,Create User,ユーザーを作成,사용자 생성,Crear usuario,button text
 ,USER_CREATED,User created successfully,用户创建成功,用户建立成功,User created successfully,ユーザーが正常に作成されました,사용자가 성공적으로 생성되었습니다,Usuario creado correctamente,success message
 ,USER_DELETED,User deleted successfully,用户删除成功,用户刪除成功,User deleted successfully,ユーザーが正常に削除されました,사용자가 성공적으로 삭제되었습니다,Usuario eliminado correctamente,success message
 ,CONFIRM_DELETE_USER,Are you sure you want to delete this user?,确定要删除此用户吗？,確定要刪除此用户嗎？,Are you sure you want to delete this user?,このユーザーを削除してもよろしいですか？,이 사용자를 삭제하시겠습니까?,¿Está seguro de que desea eliminar este usuario?,confirmation message
 ,NO_USERS,No users found,未找到用户,未找到用户,No users found,ユーザーが見つかりません,사용자를 찾을 수 없습니다,No se encontraron usuarios,empty state message
 ,USERS,Users,用户,用户,Users,ユーザー,사용자,Usuarios,label
 ,USER_COUNT,User Count,用户数,用户數,User Count,ユーザー数,사용자 수,Número de usuarios,label
 ,CREATE_USER_DIALOG,Create New User,创建新用户,建立新用户,Create New User,新しいユーザーを作成,새 사용자 생성,Crear nuevo usuario,dialog title
 ,ADMIN_ONLY,Admin Only,仅管理员,僅管理員,Admin Only,管理者のみ,관리자 전용,Solo administrador,label

# Search and filter strings,,,,,,,,,
 ,SEARCH_PLACEHOLDER,Search...,搜索...,搜尋...,Rechercher...,検索...,검색...,Buscar...,search input placeholder
 ,FILTER,Filter,筛选,篩選,Filtre,フィルタ,필터,Filtro,filter label
 ,CLEAR_FILTER,Clear Filter,清除筛选,清除篩選,Clear Filter,フィルタをクリア,필터 지우기,Limpiar filtro,button text
 ,FILTER_BY_STATUS,Filter by Status,按状态筛选,按狀態篩選,Filter by Status,ステータスでフィルタ,상태별 필터,Filtrar por estado,filter label
 ,FILTER_BY_NAME,Filter by Name,按名称筛选,按名稱篩選,Filter by Name,名前でフィルタ,이름별 필터,Filtrar por nombre,filter label
 ,ALL_STATUS,All Status,所有状态,所有狀態,All Status,すべてのステータス,모든 상태,Todos los estados,filter option

# Batch operations strings,,,,,,,,,
 ,SELECT_ALL,Select All,全选,全選,Select All,すべて選択,모두 선택,Seleccionar todo,checkbox label
 ,SELECTED_ITEMS,Selected Items,已选项,已選項,Selected Items,選択されたアイテム,선택된 항목,Elementos seleccionados,label
 ,BATCH_ACTIONS,Batch Actions,批量操作,批次操作,Batch Actions,一括操作,일괄 작업,Acciones en lote,label
 ,START_SELECTED,Start Selected,启动所选,啟動所选,Start Selected,選択を起動,선택 항목 시작,Iniciar seleccionados,button text
 ,STOP_SELECTED,Stop Selected,停止所选,停止所选,Stop Selected,選択を停止,선택 항목 정지,Detener seleccionados,button text
 ,REMOVE_SELECTED,Remove Selected,删除所选,刪除所选,Remove Selected,選択を削除,선택 항목 삭제,Eliminar seleccionados,button text
 ,CONFIRM_REMOVE_SELECTED,Are you sure you want to remove {0} selected item(s)?,确定要删除 {0} 个所选项吗？,確定要刪除 {0} 個所选項嗎？,Are you sure you want to remove {0} selected item(s)?,{0}個の選択されたアイテムを削除してもよろしいですか？,{0}개의 선택된 항목을 삭제하시겠습니까?,¿Está seguro de que desea eliminar {0} elemento(s) seleccionado(s)?,confirmation message
 ,NO_ITEMS_SELECTED,No items selected,未选择任何项,未選擇任何項,No items selected,アイテムが選択されていません,선택된 항목이 없습니다,No hay elementos seleccionados,message

# Real-time monitoring strings,,,,,,,,,
 ,REAL_TIME_STATS,Real-time Stats,实时统计,即時統計,Real-time Stats,リアルタイム統計,실시간 통계,Estadísticas en tiempo real,dialog title
 ,MONITORING,Monitoring,监控,監控,Monitoring,監視,모니터링,Monitoreo,label
 ,CPU_PERCENT,CPU %,CPU %,CPU %,CPU %,CPU %,CPU %,CPU %,label
 ,MEMORY_PERCENT,Memory %,内存 %,記憶體 %,Memory %,メモリ %,메모리 %,Memoria %,label
 ,NETWORK_RX,Network RX,网络接收,網路接收,Network RX,ネットワーク RX,네트워크 RX,Red RX,label
 ,NETWORK_TX,Network TX,网络发送,網路發送,Network TX,ネットワーク TX,네트워크 TX,Red TX,label
 ,AUTO_REFRESH,Auto Refresh,自动刷新,自動重新整理,Auto Refresh,自動更新,자동 새로고침,Actualización automática,label

# Create container dialog strings,,,,,,,,,
 ,CREATE,Create,创建,建立,Créer,作成,생성,Crear,button text for create action
 ,IMAGE_PLACEHOLDER,e.g.: nginx:latest, mysql:8.0, ubuntu,例如: nginx:latest, mysql:8.0, ubuntu,"例如: nginx:latest, mysql:8.0, ubuntu",ex.: nginx:latest, mysql:8.0, ubuntu,例: nginx:latest, mysql:8.0, ubuntu,예: nginx:latest, mysql:8.0, ubuntu,ej.: nginx:latest, mysql:8.0, ubuntu,placeholder for image field
 ,AUTO_PULL_IF_MISSING,Auto-pull if missing,本地无镜像时自动拉取,本機無映像时自動拉取,Auto-pull if missing,ローカルにない場合は自動プル,없으면 자동으로 가져오기,Auto-extraer si falta,checkbox label
 ,AUTO_START_AFTER_CREATE,Auto-start after create,创建后自动启动,建立後自動啟動,Démarrage automatique après création,作成後に自動起動,생성 후 자동 시작,Inicio automático después de crear,checkbox label
 ,LABELS,Labels,标签,標籤,Étiquettes,ラベル,레이블,Etiquetas,section header
 ,ADD_LABEL,Add Label,添加标签,新增標籤,Add Label,ラベルを追加,레이블 추가,Agregar etiqueta,button text
 ,PORTS,Ports,端口,埠,Ports,ポート,포트,Puertos,tab title
 ,ADD_PORT,Add Port,添加端口,新增埠,Add Port,ポートを追加,포트 추가,Agregar puerto,button text
 ,HOST_PORT,Host Port,宿主机端口,主機埠,Host Port,ホストポート,호스트 포트,Puerto del host,label
 ,CONTAINER_PORT,Container Port,容器端口,容器埠,Container Port,コンテナポート,컨테이너 포트,Puerto del contenedor,label
 ,PROTOCOL,Protocol,协议,協定,Protocol,プロトコル,프로토콜,Protocolo,label
 ,TCP,TCP,TCP,TCP,TCP,TCP,TCP,TCP,protocol option
 ,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,protocol option
 ,REMOVE_ROW,Remove Row,移除行,移除行,Remove Row,行を削除,행 삭제,Eliminar fila,button text
 ,VOLUMES,Volumes,卷,卷,Volumes,ボリューム,볼륨,Volúmenes,tab title
 ,ADD_VOLUME,Add Volume,添加卷,新增卷,Add Volume,ボリュームを追加,볼륨 추가,Agregar volumen,button text
 ,HOST_PATH_OR_VOLUME,Host Path or Volume,宿主机路径或卷名,主機路徑或卷名,Host Path or Volume,ホストパスまたはボリューム,호스트 경로 또는 볼륨,Ruta del host o volumen,label
 ,CONTAINER_PATH,Container Path,容器路径,容器路徑,Container Path,コンテナパス,컨테이너 경로,Ruta del contenedor,label
 ,MODE,Mode,模式,模式,Mode,モード,모드,Modo,label
 ,READ_ONLY,Read Only,只读,唯讀,Read Only,読み取り専用,읽기 전용,Solo lectura,mode option
 ,READ_WRITE,Read/Write,读写,讀寫,Read/Write,読み書き,읽기/쓰기,Lectura/escritura,mode option
 ,ENV_VARIABLES,Environment Variables,环境变量,環境變數,Environment Variables,環境変数,환경 변수,Variables de entorno,tab title
 ,ADD_ENV,Add Environment Variable,添加环境变量,新增環境變數,Add Environment Variable,環境変数を追加,환경 변수 추가,Agregar variable de entorno,button text
 ,KEY,Key,键,鍵,Key,キー,키,Clave,label
 ,VALUE,Value,值,值,Value,値,값,Valor,label
 ,NETWORK,Network,网络,網路,Network,ネットワーク,네트워크,Red,tab title
 ,SELECT_NETWORK,Select Network,选择网络,選擇網路,Select Network,ネットワークを選択,네트워크 선택,Seleccionar red,label
 ,ALIASES,Aliases,别名,別名,Aliases,エイリアス,별칭,Alias,label
 ,ADD_ALIAS,Add Alias,添加别名,新增別名,Add Alias,エイリアスを追加,별칭 추가,Agregar alias,button text
 ,IPV4_ADDRESS,IPv4 Address,IPv4 地址,IPv4 位址,IPv4 Address,IPv4 アドレス,IPv4 주소,Dirección IPv4,label
 ,RESOURCES,Resources,资源,資源,Resources,リソース,리소스,Recursos,tab title
 ,CPU_LIMIT,CPU Limit (cores),CPU 限制（核数）,CPU 限制（核數）,CPU Limit (cores),CPU 制限（コア）,CPU 제한(코어),Límite de CPU (núcleos),label
 ,MEMORY_LIMIT_MIB,Memory Limit (MiB),内存限制（MiB）,記憶體限制（MiB）,Memory Limit (MiB),メモリ制限（MiB）,메모리 제한(MiB),Límite de memoria (MiB),label
 ,RESTART_POLICY,Restart Policy,重启策略,重啟原則,Restart Policy,再起動ポリシー,재시작 정책,Política de reinicio,label
 ,NO_RESTART,No,无,無,No,なし,없음,No,restart policy option
 ,ALWAYS,Always,总是,總是,Always,常に,항상,Siempre,restart policy option
